Energy Burden (% income),Avg. Annual Energy Cost ($),Total Households,Household Income,Black/ African American (% pop.),American Indian/ Native Alaskan (% pop.),Asian (% pop.),Native Hawaiian/ Other Pacific Islander (% pop.),White Hispanic or Latino (% pop.),White Non-Hispanic or Latino (% pop.),Two or More Races (% pop.),Other Races (% pop.),Less Than High School (% pop.),High School (% pop.),Associates or Some College (% pop.),Bachelors or Higher (% pop.)
2,1473,1531,88897,21,0,5,0,30,32,5,6,17,5,33,45
1,1084,1766,85248,12,2,3,0,18,36,4,25,14,13,18,55
1,1350,1604,132321,2,2,3,0,14,75,3,2,0,0,12,88
1,1126,1206,104653,15,0,8,0,27,42,5,4,10,21,25,44
1,2362,598,189300,4,0,5,0,13,73,3,2,5,10,16,69
1,2040,959,181513,1,0,4,0,12,55,13,16,8,4,13,74
1,1945,1955,155481,5,0,6,0,11,74,3,1,2,4,19,76
1,2237,1351,203066,1,1,3,0,5,88,2,1,1,3,25,71
1,1439,2026,107554,14,0,5,0,28,44,6,3,9,9,25,57
2,2588,493,138347,1,0,1,0,35,50,3,11,20,13,17,51
4,2534,740,63103,0,2,0,0,84,6,1,7,47,29,12,12
2,1651,1575,104883,3,1,3,0,20,63,8,0,10,6,27,57
2,1657,1296,93991,25,0,2,0,21,48,1,4,10,17,21,52
2,1380,1741,83426,15,1,5,0,37,35,3,3,17,17,28,38
2,1403,1295,56997,12,0,2,0,47,26,4,9,36,19,27,18
2,985,1073,45923,17,0,6,0,33,34,2,7,25,15,23,36
2,1467,1365,68215,16,0,7,0,35,34,8,0,13,21,25,41
2,1008,1176,59079,40,1,2,0,9,37,9,2,18,10,33,39
1,1490,1488,144284,14,0,10,0,8,64,2,0,0,7,16,77
1,1194,2227,141636,4,0,12,0,12,63,6,2,0,0,9,91
1,1144,1842,147224,7,1,8,0,8,72,2,1,1,2,11,86
1,964,1696,97238,8,0,3,0,4,81,2,1,3,6,5,86
1,894,2121,118960,5,0,11,0,6,74,1,3,0,1,8,90
1,1058,2540,154950,3,0,7,0,10,75,3,3,0,5,16,79
1,944,2875,123246,16,0,5,0,11,64,4,0,0,3,14,83
1,1077,1498,76323,34,1,4,0,18,31,8,3,1,17,29,53
4,1851,1148,52274,4,0,0,0,82,7,1,5,65,16,18,1
1,957,1822,138821,23,2,8,0,6,54,6,1,2,9,29,60
1,1100,1627,101722,15,1,10,0,17,54,3,1,8,3,22,68
3,2402,960,74179,5,0,4,0,63,18,1,9,42,27,16,16
4,2094,1815,58366,19,0,0,0,55,6,10,10,39,26,27,8
5,2038,2035,39541,67,0,2,0,29,1,1,1,29,36,31,5
1,1038,797,131036,10,1,2,0,8,76,2,2,0,7,26,68
1,975,1721,99058,19,1,3,0,10,56,7,4,0,3,22,75
5,2228,1090,43045,55,0,0,0,31,13,1,0,34,35,27,4
2,1995,1719,119895,4,0,1,0,41,41,8,5,9,21,21,49
2,1944,909,114243,1,2,5,0,43,42,3,4,22,7,16,55
2,1379,1821,78159,24,2,2,0,34,24,8,7,19,11,19,51
1,2233,1705,160587,10,0,1,0,17,65,5,2,5,10,19,65
2,2206,1828,93552,6,0,0,0,55,17,16,6,26,20,18,36
2,1795,916,106391,16,2,0,0,24,44,7,5,13,10,18,60
3,1879,833,64148,2,2,0,0,66,14,11,4,54,25,11,10
3,1707,836,53817,5,2,0,0,77,3,8,4,55,27,8,10
